url_length,contains_ip,shortening_services,special_chars,html_length,js_length,num_links,num_forms,domain_age,has_ssl
19,0,0,0,215572,68466,359,1,6998.0,1
21,0,0,0,339507,53337,158,3,4765.0,1
18,0,0,0,2610,136,0,0,9004.0,1
20,0,0,0,43273,20758,55,0,4967.0,1
16,0,0,0,302163,131333,216,1,11157.0,1
18,0,0,0,516289,16795,275,0,10273.0,1
16,0,0,0,138836,26702,152,0,7353.0,1
18,0,0,0,228620,9798,489,1,8575.0,1
20,0,0,0,163730,42333,223,1,5161.0,1
17,0,0,0,222057,5307,270,3,3504.0,1
16,0,0,0,126299,9675,318,1,4066.0,1
16,0,0,0,1399453,689552,380,2,10180.0,1
24,0,0,0,80411,0,6,0,5070.0,1
16,0,0,0,351317,63538,1479,0,7755.0,1
17,0,0,0,625227,7994,41,0,10512.0,1
16,0,0,0,992557,41162,184,1,7168.0,1
14,0,0,0,405239,58178,385,1,7818.0,1
20,0,0,0,203010,37938,337,4,14319.0,1
14,0,0,0,17536,2744,5,1,9847.0,1
13,0,0,0,80644,506,106,3,10273.0,1
25,0,1,0,2231273,1678204,148,0,6998.0,1
16,0,0,0,46958,491,147,1,7205.0,1
24,0,0,0,105962,1623,342,1,5575.0,1
18,0,0,0,9589,0,11,0,9623.0,1
21,0,0,0,63801,6244,18,1,8210.0,1
20,0,0,0,35766,9788,28,1,9958.0,1
18,0,0,0,481588,118418,450,0,11064.0,1
22,0,0,0,105575,9822,125,0,4686.0,1
22,0,0,0,463525,260551,118,0,10387.0,1
21,0,0,0,161584,6857,319,1,6284.0,1
17,0,0,0,161308,54209,283,0,10206.0,1
17,0,1,0,290999,2745,339,1,9301.0,1
20,0,0,0,48950,8607,16,1,408.0,1
15,0,0,0,47641,10486,75,0,5333.0,1
24,0,0,0,126906,9391,105,1,7569.0,1
18,0,0,0,1162076,723476,196,0,10429.0,1
18,0,0,0,123312,40301,121,7,4280.0,1
18,0,0,0,241956,42465,262,11,10434.0,1
23,0,0,0,12163,7549,0,0,8882.0,1
18,0,0,0,70020,9418,105,0,6414.0,1
15,0,0,0,149595,4823,222,0,7434.0,1
13,0,0,0,39099,3562,54,1,10273.0,1
20,0,0,0,141380,349,132,2,4512.0,1
19,0,0,0,171458,15925,250,2,4784.0,1
22,0,0,0,76848,13319,167,3,9171.0,1
19,0,0,0,119970,9511,265,2,7324.0,1
20,0,0,0,162964,5528,85,2,9793.0,1
16,0,0,0,130382,14259,430,1,8361.0,1
17,0,0,0,1042,293,0,0,3765.0,1
22,0,0,0,454116,6065,530,21,6138.0,1
13,0,0,0,1597784,1434589,138,1,6519.0,1
19,0,0,0,3019541,1919768,910,3,9371.0,1
19,0,0,0,339769,120799,398,2,6377.0,1
17,0,0,0,118868,13075,227,1,9567.0,1
21,0,0,0,563047,230138,214,22,4640.0,0
21,0,0,0,119708,29020,172,0,5424.0,1
20,0,0,0,166014,6909,106,1,4069.0,1
28,0,0,0,21923,1921,63,0,7319.0,1
15,0,0,0,277813,23389,204,1,8974.0,1
30,0,0,0,1324,0,0,0,4898.0,0
20,0,0,0,22404,15340,23,1,7875.0,1
20,0,0,0,93987,1099,19,1,3414.0,1
20,0,0,0,3237,0,6,0,7089.0,0
17,0,0,0,127055,11665,66,2,1345.0,1
25,0,0,0,104255,58205,22,0,838.0,1
21,0,0,0,612,0,2,0,3435.0,0
30,0,0,0,427584,275078,118,0,8123.0,1
18,0,1,0,439121,109855,125,0,10673.0,1
57,0,0,0,3984,0,23,0,2531.0,0
20,0,0,0,29739,2152,67,1,82.0,1
23,0,0,0,75781,7107,153,1,994.0,1
16,0,0,0,43746,11251,16,1,5529.0,1
36,0,0,0,1218,469,0,0,1129.0,1
25,0,0,0,142503,21091,105,4,3961.0,1
36,0,0,0,17678,7328,0,0,3465.0,1
21,0,0,0,62090,9345,12,4,7161.0,1
14,0,0,0,8385,3854,2,0,9813.0,1
22,0,0,0,135727,687,199,3,9818.0,1
21,0,0,0,22398,8014,9,0,6993.0,1
